0_Index,1_Name,2_Tax,3_mean_genus_perc,4_perc_samples,Family
1,Flavobacterium,genus,10.642432943007998,100,Flavobacteriaceae
2,Bdellovibrio,genus,2.4387786815133716,100,Bdellovibrionaceae
3,Acinetobacter,genus,1.9654505122032222,100,Moraxellaceae
5,Alishewanella,genus,0.6850536247347486,90,Alteromonadaceae
6,Ferribacterium,genus,3.4909541740895476,100,Rhodocyclaceae
7,Thauera,genus,1.6971317996386615,100,Rhodocyclaceae
8,Terrimonas,genus,4.619149487412582,100,Chitinophagaceae
9,Zoogloea,genus,2.8510060863460254,100,Rhodocyclaceae
12,Dokdonella,genus,1.577873746240107,100,Rhodanobacteraceae
13,env.OPS_17,genus,2.1066136784926575,100,env.OPS_17
15,Pseudomonas,genus,0.928682587832955,100,Pseudomonadaceae
17,NS9_marine_group,genus,2.8134750599420806,100,NS9_marine_group
19,Brevundimonas,genus,0.5664919237025692,100,Caulobacteraceae
20,Dechloromonas,genus,1.7540181644512867,100,Rhodocyclaceae
21,Aquabacterium,genus,1.2859618319255637,100,Comamonadaceae
22,Sphaerotilus,genus,0.5597627080536616,93.33333333333333,Comamonadaceae
23,Aquaspirillum,genus,0.23525431365076657,90,Aquaspirillaceae
25,Leptospira,genus,0.6853048183068041,100,Leptospiraceae
26,37-13,genus,1.6950726279625554,100,37-13
27,OLB12,genus,1.2373241217715578,100,Microscillaceae
29,AAP99,genus,0.8041974951908524,100,Sutterellaceae
30,OLB8,genus,1.226188433659617,100,Saprospiraceae
31,AKYH767,genus,1.8897808078289704,100,AKYH767
32,Vicingus,genus,0.50339064894047,90,Cryomorphaceae
33,Lacihabitans,genus,0.276121577849359,100,Spirosomaceae
34,Aquimonas,genus,0.43742308191004936,100,Rhodanobacteraceae
35,Sulfuritalea,genus,0.8084292252617526,100,Rhodocyclaceae
36,SJA-28,genus,1.0703252715597935,100,SJA-28
37,Chitinivorax,genus,0.5672746120375215,100,Chitinimonadaceae
38,NS11-12_marine_group,genus,1.1847102398175677,100,NS11-12_marine_group
39,Bacteriovorax,genus,0.3022015613927585,96.66666666666667,Bacteriovoracaceae
40,Ferruginibacter,genus,1.1944928316751962,100,Chitinophagaceae
42,BSV26,genus,0.3702820688935805,100,BSV26
43,OM190,genus,0.7093098493495639,100,OM190
44,Candidatus_Accumulibacter,genus,0.48976547619001837,100,Rhodocyclaceae
47,Haliangium,genus,0.36530649258027614,100,Haliangiaceae
48,Nannocystis,genus,0.41872972912260786,100,Nannocystaceae
49,Nitrospira,genus,0.6739997005914553,100,Nitrospiraceae
50,Latescibacterota,genus,0.2728839256447693,100,Latescibacterota
51,Kapabacteriales,genus,0.48212751030182543,100,Kapabacteriales
52,Crenothrix,genus,0.2702873472743279,90,Methylomonadaceae
53,Uliginosibacterium,genus,0.2974198621757602,100,Rhodocyclaceae
54,Lentimicrobium,genus,0.3662644251953618,96.66666666666667,Lentimicrobiaceae
55,Pedobacter,genus,0.3117633564203315,100,Sphingobacteriaceae
56,Novosphingobium,genus,0.41136424696133594,100,Sphingomonadaceae
57,Candidatus_Obscuribacter,genus,0.4550917456444804,100,Obscuribacteraceae
58,Hirschia,genus,0.3027451005299283,100,Hyphomonadaceae
59,A0839,genus,0.3681250951902601,100,A0839
60,Lacunisphaera,genus,0.3469980478827078,93.33333333333333,Opitutaceae
61,Prosthecobacter,genus,0.4169399084370242,100,Verrucomicrobiaceae
62,Ahniella,genus,0.43669022306816907,100,Rhodanobacteraceae
64,Edaphobaculum,genus,0.22074743859737386,100,Chitinophagaceae
65,Nitrosomonas,genus,0.3240666168622319,100,Nitrosomonadaceae
66,Phenylobacterium,genus,0.19188857908141405,96.66666666666667,Caulobacteraceae
67,Haliscomenobacter,genus,0.3168761470531344,100,Saprospiraceae
69,Cephaloticoccus,genus,0.13345995615782272,90,Opitutaceae
